Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),Lighting Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-01 00:00:00,0.1484316167007868,0.06730228363180439,0.0,0.08374469165170878,0.044686925049078036,0.020000000000000004,0.0,0.0,47.20072698517538,9.66605687345537,0.0
2025-01-01 01:00:00,0.1462066517805457,0.06659615348603146,0.0,0.0828031847906782,0.04340346698986751,0.020000000000000004,0.0,0.0,46.49226901790642,9.39500295396712,0.0
2025-01-01 02:00:00,0.14526514491951514,0.06589002334025854,0.038051506108000926,0.08186167792964763,0.04340346698986751,0.020000000000000004,0.038051506108000926,0.0,51.37889860089691,9.12309209118118,0.0
2025-01-01 03:00:00,0.14346799935234422,0.0651838931944856,0.0,0.08092017106861706,0.042547828283727156,0.020000000000000004,0.0,0.0,51.95504514239139,8.83646221519624,0.0
2025-01-01 04:00:00,0.14252649249131366,0.06447776304871267,0.0,0.0799786642075865,0.042547828283727156,0.020000000000000004,0.0,0.0,51.138479416448575,8.593409462924365,0.0
2025-01-01 05:00:00,0.2179273686242551,0.07068504626773962,0.0,0.09129083530041,0.10663653332384508,0.020000000000000004,0.0,0.0,50.27940407392061,8.256450621144,0.0
2025-01-01 06:00:00,0.3507900354722203,0.07709269162602624,0.0,0.10404122517767508,0.22674881029454516,0.020000000000000004,0.0,0.0,49.36533648568414,8.291188073385179,0.0
2025-01-01 07:00:00,0.40374963050445056,0.08149035956100888,0.030441204886400744,0.11297989236591194,0.2707697381385385,0.020000000000000004,0.030441204886400744,0.0,48.623256008649456,8.2708603464945,0.0
2025-01-01 08:00:00,0.418240595309762,0.08314236143539544,0.0,0.11776621554661536,0.28047437976314654,0.020000000000000004,0.0,0.0,51.702227465781014,8.131071252120638,0.0
2025-01-01 09:00:00,0.42289916437574643,0.08314236143539544,0.0,0.12023753677821548,0.28266162759753094,0.020000000000000004,0.0,0.0,50.76383561539119,8.01521218328626,0.0
2025-01-01 10:00:00,0.4153862051060357,0.08243623128962252,0.0,0.12140226960320774,0.2739839355028279,0.020000000000000004,0.0,0.0,49.90511149134672,8.093538278439624,0.0
